epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2906.05,0.97355,0.99503,1.0685,0.66006,0.95198,0.91562,0.66461,1.08382,0.97556,1.22884,9.5326e-05,9.5326e-05,9.5326e-05
78,2946.53,0.97902,1.05023,1.09087,0.67068,0.92337,0.91772,0.67121,1.06348,0.95941,1.21489,9.15145e-05,9.15145e-05,9.15145e-05
79,2988.34,0.94475,0.90583,1.05554,0.7208,0.92337,0.91484,0.67157,1.05175,0.93056,1.20367,8.7703e-05,8.7703e-05,8.7703e-05
80,3030.18,0.9612,0.93826,1.07451,0.74632,0.92337,0.91446,0.66886,1.05382,0.93043,1.20145,8.38915e-05,8.38915e-05,8.38915e-05
81,3071.32,0.94804,0.91066,1.07282,0.78597,0.91794,0.91265,0.66632,1.06631,0.95107,1.20331,8.008e-05,8.008e-05,8.008e-05
82,3111.87,0.95694,0.99578,1.07721,0.80526,0.90277,0.91138,0.66256,1.06633,0.96136,1.19803,7.62685e-05,7.62685e-05,7.62685e-05
83,3152.46,0.9689,0.91942,1.06508,0.80287,0.90071,0.91027,0.66205,1.0674,0.96508,1.19766,7.2457e-05,7.2457e-05,7.2457e-05
84,3193.47,0.96084,0.9557,1.06166,0.83204,0.86113,0.90961,0.66471,1.06249,0.96313,1.19587,6.86455e-05,6.86455e-05,6.86455e-05
85,3234.37,0.96231,0.94707,1.04619,0.82647,0.86687,0.91103,0.6656,1.06459,0.96296,1.20074,6.4834e-05,6.4834e-05,6.4834e-05
86,3276.72,0.97375,0.97708,1.08412,0.80479,0.8642,0.91179,0.66521,1.06666,0.957,1.20781,6.10225e-05,6.10225e-05,6.10225e-05
87,3317.67,0.95765,0.8755,1.06263,0.81068,0.85553,0.91446,0.66704,1.06702,0.93945,1.21114,5.7211e-05,5.7211e-05,5.7211e-05
88,3361.44,0.93546,0.89868,1.06158,0.83022,0.86223,0.91607,0.66911,1.06506,0.93272,1.21133,5.33995e-05,5.33995e-05,5.33995e-05
89,3406.8,0.97553,0.92714,1.06892,0.86158,0.8612,0.92083,0.66893,1.06318,0.92111,1.20804,4.9588e-05,4.9588e-05,4.9588e-05
90,3452.05,0.94013,0.93046,1.08238,0.84008,0.85355,0.9189,0.66656,1.06113,0.91968,1.20432,4.57765e-05,4.57765e-05,4.57765e-05
91,3496.42,0.94889,0.93944,1.08494,0.86229,0.82817,0.91461,0.66256,1.06414,0.93117,1.20469,4.1965e-05,4.1965e-05,4.1965e-05
92,3541.23,0.94091,0.9319,1.04547,0.89557,0.80587,0.91131,0.65728,1.07469,0.95132,1.209,3.81535e-05,3.81535e-05,3.81535e-05
93,3585.84,0.92654,0.87658,1.05729,0.79904,0.88469,0.90797,0.65172,1.08431,0.96306,1.21829,3.4342e-05,3.4342e-05,3.4342e-05
94,3630.65,0.96791,0.9421,1.05814,0.79422,0.88551,0.9086,0.65211,1.09863,0.98061,1.23412,3.05305e-05,3.05305e-05,3.05305e-05
95,3674.57,0.92085,0.88218,1.05475,0.84681,0.81677,0.90611,0.65273,1.1153,0.99711,1.25011,2.6719e-05,2.6719e-05,2.6719e-05
96,3718.29,0.93099,0.90056,1.03896,0.7923,0.8487,0.9058,0.65103,1.11407,1.00067,1.24862,2.29075e-05,2.29075e-05,2.29075e-05
97,3763.34,0.92807,0.88103,1.06165,0.82345,0.83029,0.90289,0.65028,1.10578,0.99808,1.2408,1.9096e-05,1.9096e-05,1.9096e-05
98,3808.24,0.92009,0.9111,1.04857,0.80348,0.84045,0.90373,0.65129,1.09861,0.98386,1.23444,1.52845e-05,1.52845e-05,1.52845e-05
99,3852.59,0.92088,0.86397,1.04724,0.81545,0.86524,0.90729,0.65274,1.09331,0.97325,1.22946,1.1473e-05,1.1473e-05,1.1473e-05
100,3896.6,0.90862,0.89007,1.06523,0.81806,0.83828,0.90463,0.65317,1.08874,0.96672,1.2271,7.6615e-06,7.6615e-06,7.6615e-06
